Año,CO2 (kt),CO2 per cápita (toneladas métricas),Clave_Hash
1986,179.683,2.868319392,910
1987,447.374,7.234964017,910
1988,612.389,10.026507523,910
1989,649.059,10.634732599,910
1990,1840.83,29.620164768,910
1991,1928.84,29.847608437,910
1992,1723.49,25.258151975,910
1993,1771.16,24.430480841,910
1994,1763.83,22.996440678,910
1995,1782.16,22.186614546,910
1996,1800.5,21.641889537,910
1997,1837.17,21.500661229,910
1998,1712.49,19.621533984,910
1999,1749.16,19.652588648,910
2000,2321.21,25.547678795,910
2001,2357.88,25.382489719,910
2002,2372.55,24.975514501,910
2003,2416.55,24.909065608,910
2004,2420.22,24.510542626,910
2005,2497.23,24.964530995,910
2006,2497.23,24.766706337,910
2007,2592.57,25.613714952,910
2008,2508.23,24.750133212,910
2009,2522.9,24.876705845,910
2010,2456.89,24.182702245,910
2011,2438.56,23.922412102,910
1995,407.037,6.374494942,870
1996,425.372,6.616353766,870
1997,458.375,7.145696603,870
1998,484.044,7.576446281,870
1999,513.38,8.001433893,870
2000,524.381,8.018180706,870
2001,524.381,7.73765678,870
2002,531.715,7.484094812,870
2003,535.382,7.159140446,870
2004,564.718,7.208828523,870
2005,575.719,7.088127747,870
2006,546.383,6.553476545,870
2007,539.049,6.350868305,870
2008,539.049,6.296124556,870
2009,517.047,6.049172848,870
2010,517.047,6.12477049,870
2011,491.378,5.96868547,870
1960,414.371,0.046067875,858
1961,491.378,0.053614943,858
1962,689.396,0.073781338,858
1963,707.731,0.074251368,858
1964,839.743,0.086316543,858
1965,1008.43,0.101498607,858
1966,1092.77,0.10767397,858
1967,1283.45,0.123782381,858
1968,1224.78,0.115547383,858
1969,942.419,0.086862817,858
1970,1672.15,0.150358548,858
1971,1895.84,0.166114846,858
1972,1532.81,0.130820142,858
1973,1639.15,0.136339954,858
1974,1917.84,0.155725123,858
1975,2126.86,0.169027082,858
1976,1987.51,0.154895026,858
1977,2390.88,0.183118308,858
1978,2159.86,0.163346971,858
1979,2240.54,0.168673488,858
1980,1760.16,0.133230271,858
1981,1983.85,0.152639744,858
1982,2101.19,0.165879122,858
1983,2522.9,0.205462699,858
1984,2830.92,0.237642948,858
1985,3509.32,0.301734199,858
1986,3142.62,0.274729698,858
1987,3124.28,0.275560305,858
1988,2867.59,0.252079156,858
1989,2775.92,0.239131208,858
1990,2676.91,0.221826764,858
1991,2493.56,0.194971232,858
1992,1426.46,0.103775745,858
1993,1375.13,0.092761103,858
1994,1320.12,0.083183538,858
1995,1268.78,0.075646465,858
1996,1199.11,0.06859185,858
1997,1114.77,0.061814349,858
1998,1056.1,0.057050868,858
1999,832.409,0.043722588,858
2000,781.071,0.03964437,858
2001,645.392,0.031434756,858
2002,894.748,0.041641211,858
2003,1037.76,0.046107612,858
2004,957.087,0.040727366,858
2005,1338.46,0.05485483,858
2006,1657.48,0.065815968,858
2007,2280.87,0.088141054,858
2008,4217.05,0.158961558,858
2009,6776.62,0.24907353,858
2010,8470.77,0.302936388,858
2011,12251.45,0.425262105,858
1960,550.05,0.104357101,893
1961,454.708,0.084718406,893
1962,1180.77,0.216025343,893
1963,1151.44,0.206877061,893
1964,1224.78,0.216174133,893
1965,1188.11,0.206088959,893
1966,1554.81,0.265164146,893
1967,993.757,0.166658589,893
1968,1672.15,0.275655471,893
1969,2786.92,0.451125604,893
1970,3582.66,0.568588577,893
1971,3410.31,0.529744961,893
1972,4506.74,0.684120294,893
1973,4880.78,0.723055043,893
1974,4873.44,0.703873436,893
1975,4415.07,0.621198891,893
1976,3285.63,0.450116912,893
1977,3534.99,0.471248794,893
1978,5412.49,0.701359921,893
1979,5504.17,0.692097154,893
1980,5346.49,0.651061684,893
1981,5280.48,0.621382804,893
1982,4649.76,0.527930763,893
1983,5115.47,0.560374447,893
1984,5009.12,0.530351031,893
1985,4701.09,0.482400531,893
1986,4660.76,0.464973712,893
1987,5815.86,0.565431153,893
1988,5130.13,0.486503528,893
1989,5009.12,0.462907837,893
1990,4429.74,0.398075822,893
1991,4367.4,0.380694834,893
1992,4418.74,0.372921412,893
1993,5801.19,0.473691138,893
1994,3890.69,0.307601078,893
1995,11012.0,0.844305988,893
1996,10491.29,0.781484777,893
1997,7381.67,0.5348313,893
1998,7308.33,0.515117027,893
1999,9156.5,0.627072296,893
2000,9541.53,0.633625299,893
2001,9732.22,0.625351712,893
2002,12665.82,0.786223278,893
2003,9064.82,0.543083667,893
2004,18793.38,1.086604897,893
2005,19156.41,1.069417185,893
2006,22266.02,1.200877147,893
2007,25151.95,1.311096483,893
2008,27172.47,1.369424769,893
2009,29361.67,1.430873373,893
2010,29743.04,1.401654169,893
2011,29710.03,1.35400753,893
1960,2024.18,1.258194928,856
1961,2280.87,1.374186047,856
1962,2464.22,1.439955964,856
1963,2082.86,1.181681144,856
1964,2016.85,1.11174196,856
1965,2174.53,1.166099043,856
1966,2552.23,1.333055465,856
1967,2680.58,1.3637463,856
1968,3072.95,1.519551277,856
1969,3245.3,1.558967572,856
1970,3744.01,1.753239905,856
1971,4352.73,1.989497923,856
1972,5643.51,2.515914398,856
1973,5291.48,2.303897417,856
1974,4345.4,1.849006691,856
1975,4594.75,1.910633637,856
1976,4950.45,2.013584562,856
1977,5720.52,2.275876391,856
1978,6494.26,2.53062504,856
1979,7587.02,2.898208518,856
1980,5170.47,1.93505831,856
1981,7341.33,2.693023914,856
1982,7308.33,2.624856785,856
1983,7631.03,2.683239919,856
1984,7825.38,2.694291374,856
1985,7880.38,2.658015382,856
1986,8056.4,2.665356221,856
1987,7444.01,2.414060815,856
1988,7326.67,2.331598531,856
1989,8984.15,2.783243075,856
1990,7488.01,2.278386827,856
1991,3971.36,1.215676857,856
1992,2387.22,0.73519813,856
1993,2343.21,0.726062789,856
1994,1928.84,0.601346953,856
1995,2086.52,0.654537133,856
1996,2016.85,0.636625313,856
1997,1543.81,0.49036506,856
1998,1752.83,0.560271437,856
1999,2984.94,0.960164412,856
2000,3021.61,0.978174681,856
2001,3223.29,1.053304176,856
2002,3751.34,1.229540709,856
2003,4294.06,1.412697196,856
2004,4165.71,1.376212735,856
2005,4253.72,1.412498211,856
2006,3865.02,1.291547969,856
2007,4477.41,1.507535815,856
2008,4657.09,1.580113283,856
2009,4488.41,1.533178094,856
2010,4415.07,1.515632053,856
2011,4668.09,1.60703771,856
1960,11.001,0.118785902,886
1961,11.001,0.108936971,886
1962,18.335,0.16335531,886
1963,22.002,0.175712369,886
1964,18.335,0.132650846,886
1965,22.002,0.146369696,886
1966,25.669,0.159358568,886
1967,916.75,5.336736892,886
1968,1243.11,6.708216413,886
1969,20524.2,99.84043878,886
1970,15247.39,64.762888963,886
1971,21184.26,76.988875563,886
1972,23454.13,72.37388334,886
1973,30630.45,80.012044731,886
1974,31327.18,69.315896962,886
1975,31070.49,58.483978805,886
1976,39651.27,63.742797616,886
1977,38785.86,53.656931116,886
1978,44814.41,54.163321223,886
1979,36607.66,39.477561272,886
1980,36904.69,36.295325776,886
1981,36857.02,33.717635403,886
1982,36871.69,31.82772295,886
1983,35342.55,29.011556997,886
